event,gender,national_record,national_name,national_venue,national_date,oly_bronze_perf,oly_bronze_name,oly_bronze_country,asiad_bronze_perf,asiad_bronze_name,asiad_bronze_country,world_record,wr_name,wr_country,wr_venue,wr_date,asian_record,ar_name,ar_country,ar_venue,ar_date,asiad_gold_perf
100 metres,men,10.21,Anil KUMAR,Bangalore (IND),05/07/2000,9.91,Andre De Grasse,CAN,10.15,Kei Takase,JPN,9.58,Usain BOLT,JAM,Berlin (Olympiastadion),16/08/2009,9.87,Yoshihide KIRYU,JPN,"Austin, TX (USA)",28/03/2015,9.93
200 metres,men,20.66,Dharmbir SINGH,Wuhan (CHN),07/06/2015,20.12,Christophe LEMAITRE,FRA,20.82,Yeo Ho-Su-Ah,KOR,19.19,Usain BOLT,JAM,Berlin (Olympiastadion),20/08/2009,19.97,Femi OGUNODE,QAT,Bruxelles (BEL),11/09/2015,20.14
400 metres,men,45.24,Mohammed Anas YAHIYA,Noveho Mesta nad Metuji (CZE),21/07/2018,43.85,LaShawn Merritt,USA,45.92,Arokia Rajiv,IND,43.03,Wayde VAN NIEKERK,RSA,Rio de Janeiro (Est†dio Ol°mpico),14/08/2016,43.93,Youssef Ahmed MASRAHI,KSA,Beijing (CHN),23/08/2015,44.46
800 metres,men,1:45.65,Jinson JOHNSON,Guwahati (IND),27/06/2018,01:42.93,Clayton Murphy,USA,01:48.25,Jamal Al-Hayrani,QAT,01:40.91,David RUDISHA,KEN,London (Olympic Stadium),09/08/2012,01:42.79,Yusuf Saad KAMEL,BRN,Monaco (MON),29/07/2008,01:47.48
1500 metres,men,03:37.86,Jinson JOHNSON,Gold Coast (AUS),14/04/2018,03:50.24,Nicholas Willis,NZL,03:42.50,Adnan Taees Akkar,IRQ,03:26.00,Hicham EL GUERROUJ,MAR,Roma (Stadio Olimpico),14/07/1998,03:29.14,Rashid RAMZI,BRN,Roma (ITA),14/07/2006,03:40.23
5000 metres,men,13:29.70,Bahadur PRASAD,Birmingham (GBR),27/06/1992,13:04.35,Hagos Gebrhiwet,ETH,13:28.08,Albert Rop,BRN,12:37.35,Kenenisa BEKELE,ETH,Hengelo (Blankers-Koen Stadion),31/05/2004,12:51.96,Albert ROP,BRN,Monaco (MON),19/07/2013,13:26.13
10000 metres,men,28:02.89,Surendra Singh KUMAR,Vigo (ESP),12/07/2008,27:06.26,Tamirat Tola,ETH,28:45.65,Isaac Korir,BRN,26:17.53,Kenenisa BEKELE,ETH,Bruxelles (Boudewijnstadion),26/08/2005,26:38.76,Ahmad Hassan ABDULLAH,QAT,Bruxelles (BEL),05/09/2003,28:11.20
110 metres hurdles,men,13.43,Siddhanth THINGALAYA,"San Diego, CA (USA)",01/04/2017,13.24,Dimitri Bascou,FRA,13.61,Jumrut Rittidet,THA,12.8,Aries MERRITT,USA,Bruxelles (Boudewijnstadion),07/09/2012,12.87,Xiang LIU,CHN,"Eugene, OR (USA)",02/06/2012,13.36
400 metres hurdles,men,49.45,A. DHARUN,Patiala (IND),08/03/2018,47.92,Yasmani Copello,TUR,50.29,Cheng Wen,CHN,46.78,Kevin YOUNG,USA,Barcelona (Estadio Ol°mpico),06/08/1992,46.98,Abderrahman SAMBA,QAT,Paris (FRA),30/06/2018,49.71
3000 metres steeplechase,men,08:30.88,Gopal Saini,Rajasthan,05/06/1981,08:11.52,Mahiedine Mekhissi,FRA,08:40.39,Naveen Kumar,IND,07:53.63,Saif Saaeed SHAHEEN,QAT,Bruxelles (Boudewijnstadion),03/09/2004,07:53.63,Saif Saaeed SHAHEEN,QAT,Bruxelles (BEL),03/09/2004,08:28.72
High jump,men,2.29,Tejaswin SHANKAR,"Lubbock, TX (USA)",27/04/2018,2.33,Bohdan Bondarenko,UKR,2.25,Muamer Aissa Barshim,QAT,2.45,Javier SOTOMAYOR,CUB,Salamanca (Helm†ntico),27/07/1993,2.43,Mutaz Essa BARSHIM,QAT,Bruxelles (BEL),05/09/2014,2.35
Pole vault,men,5.15,Subramani Siva,Patiala (IND),05/03/2018,5.85,Sam Kendricks,USA,5.45,Jin Min-Sub,KOR,6.16,Renaud LAVILLENIE,FRA,Donetsk (Sport Palace Druzhba),15/02/2014,5.92,Igor POTAPOVICH,KAZ,Dijon (FRA),13/06/1992,5.55
Long jump,men,8.19,Ankit SHARMA,Almaty (KAZ),26/06/2016,8.29,Greg Rutherford,GBR,7.86,Gao Xinglong,CHN,8.95,Mike POWELL,USA,Tokyo (Olympic Stadium),30/08/1991,8.48,Mohamed Salman AL KHUWALIDI,KSA,Sotteville (FRA),02/07/2006,8.01
Triple jump,men,17.3,Renjith MAHESWARY,Bangalore (IND),11/07/2016,17.58,Bin Dong,CHN,16.93,Kim Duk-Hyung,KOR,18.29,Jonathan EDWARDS,GBR,Gîteborg (Ullevi Stadium),07/08/1995,17.59,Yanxi LI,CHN,Jinan (CHN),26/10/2009,17.3
Shot put,men,20.69,Om Prakash SINGH,Szombathely (HUN),12/05/2012,21.36,Tomas Walsh,NZL,19.63,Inderjeet Singh,IND,23.12,Randy BARNES,USA,"Los Angeles (Westwood), CA",20/05/1990,21.13,Sultan Abdulmajeed AL HEBSHI,KSA,Doha (QAT),08/05/2009,19.99
Discus throw,men,66.28,Vikas GOWDA,"Norman, OK (USA)",12/04/2012,67.05,Daniel Jasinski,GER,61.25,Ahmed Mohamed Dheeb,QAT,74.08,JÅrgen SCHULT,GDR,Neubrandenburg (Jahn Sportpark),06/06/1986,69.32,Ehsan HADADI,IRI,Tallinn (EST),03/06/2008,65.11
Hammer throw,men,72.86,K.P. SINGH,"Tucson, AZ (USA)",21/05/2015,77.73,Wojciech Nowicki,POL,73.43,Wan Yong,CHN,86.74,Yuriy SEDYKH,URS,Stuttgart (Neckarstadion),30/08/1986,84.86,Koji MUROFUSHI,JPN,Praha (CZE),29/06/2003,76.82
Javelin throw,men,87.43,Neeraj CHOPRA,Doha (QAT),04/05/2018,85.38,Keshorn Walcott,TTO,83.68,Ivan Zaytsev,UZB,98.48,Jan ZELEZNÌ,CZE,Jena (Abbe Sport Ground),25/05/1996,91.36,Chao-Tsun CHENG,TPE,Taipei (TPE),26/08/2017,89.15
20 kilometres race walk,men,01:20:21,Irfan KOLOTHUM THODI,London (GBR),04/08/2012,01:19:37,Dane Bird-Smith,AUS,01:21:37,Kim Hyun-Sub,KOR,01:16:36,Yusuke SUZUKI,JPN,"Nomi, JPN",15/03/2015,01:16:36,Yusuke SUZUKI,JPN,Nomi (JPN),15/03/2015,01:19:45
Marathon,men,02:12:00,Shivnath SINGH,Jullundur (IND),28/05/1978,02:10:05,Galen Rupp,USA,02:12:42,Yuki Kawauchi,JPN,02:02:57,Dennis Kipruto KIMETTO,KEN,Berlin,28/09/2014,02:06:11,Yuta SHITARA,JPN,Tokyo (JPN),25/02/2018,02:12:38
50 kilometres race walk,men,3:55:59,Sandeep Kumar,New Delhi (IND),18/02/2017,03:41:24,Hirooki Arai,JPN,03:50:52,Wang Zhendong,CHN,03:32:33,Yohann DINIZ,FRA,ZÅrich (Letzigrund),15/08/2014,03:36:06,Chaohong YU,CHN,Nanjing (CHN),22/10/2005,03:40:19
Decathlon,men,7658,Bharatinder Singh,Bangalore (IND),12/06/2011,8666,Damian Warner,CAN,7828,Akihiko Nakamura,JPN,9045,Ashton EATON,USA,Beijing (National Stadium),29/08/2015,8725,Dmitriy KARPOV,KAZ,Athina (GRE),24/08/2004,8088
100 metres,women,11.24,Dutee CHAND,Almaty (KAZ),25/06/2016,10.86,Shelly-Ann Fraser-Pryce,JAM,11.5,Olga Safronova,KAZ,10.49,Florence GRIFFITH-JOYNER,USA,"Indianapolis (University Stadium), IN",16/07/1988,10.79,Xuemei LI,CHN,Shanghai (CHN),18/10/1997,11.48
200 metres,women,22.82,Saraswati DEY-SAHA,Ludhiana (IND),28/08/2002,22.15,Tori Bowie,USA,23.45,Chisato Fukushima,JPN,21.34,Florence GRIFFITH-JOYNER,USA,Seoul (Olympic Stadium),29/09/1988,22.01,Xuemei LI,CHN,Shanghai (CHN),22/10/1997,23.02
400 metres,women,51.05,Manjeet KAUR,Chennai (IND),16/06/2004,49.85,Shericka Jackson,JAM,52.36,Machettira Raju Poovamma,IND,47.6,Marita KOCH,GDR,Canberra (Bruce Stadium),06/10/1985,49.08,Salwa Eid NASER,BRN,Monaco (MON),20/07/2018,51.59
800 metres,women,01:59.17,Tintu LUKKA,Split (CRO),04/09/2010,01:56.89,Margaret Nyairera Wambui,KEN,01:59.48,Zhao Jing,CHN,01:53.28,Jarmila KRATOCHV÷LOVµ,TCH,MÅnchen (Olympiastadion),26/07/1983,01:55.54,Dong LIU,CHN,Beijing (CHN),09/09/1993,01:59.02
1500 metres,women,04:06.03,Sunita RANI,Busan (KOR),10/10/2002,04:10.53,Jennifer Simpson,USA,04:13.46,Orchatteri P. Jaisha,IND,03:50.07,Genzebe DIBABA,ETH,Monaco (Stade Louis II),17/07/2015,03:50.46,Yunxia QU,CHN,Beijing (CHN),11/09/1993,04:09.90
5000 metres,women,15:15.89,Preeja SREEDHARAN,Guangzhou (CHN),26/11/2010,14:33.59,Almaz Ayana,ETH,15:12.51,Ding Changqin,CHN,14:11.15,Tirunesh DIBABA,ETH,Oslo (Bislett),06/06/2008,14:28.09,Jiang BO,CHN,Shanghai (CHN),23/10/1997,14:59.69
10000 metres,women,31:50.47,Preeja SREEDHARAN,Guangzhou (CHN),21/11/2010,29:42.56,Tirunesh Dibaba,ETH,31:55.67,Ayumi Hagiwara,JPN,29:17.45,Almaz AYANA,ETH,Rio de Janeiro (Est†dio Ol°mpico),12/08/2016,29:31.78,Junxia WANG,CHN,Beijing (CHN),08/09/1993,31:51.86
100 metres hurdles,women,13.38,Anuradha Biswal,New Delhi (IND),26/08/2002,12.61,Kristi Castlin,USA,13.25,Ayako Kimura,JPN,12.2,Kendra HARRISON,USA,London (Olympic Stadium),22/07/2016,12.41,Olga SHISHIGINA,KAZ,Lausanne (SUI),05/07/1995,12.72
400 metres hurdles,women,55.42,Pilavulakandi T. USHA,"Los Angeles, CA (USA)",08/08/1984,53.72,Ashley Spencer,USA,56.59,Xiao Xia,CHN,52.34,Yuliya PECHENKINA,RUS,Tula (Arsenal Stadium),08/08/2003,53.96,Qing HAN,CHN,Beijing (CHN),09/09/1993,55.77
3000 metres steeplechase,women,09:19.76,Lalita BABAR,Rio de Janeiro (BRA),13/08/2016,09:07.63,Emma Coburn,USA,09:35.37,Lalita Babar,IND,08:52.78,Beatrice Chepkoech,KEN,Monaco (MON),20/07/2018,08:52.78,Ruth JEBET,BRN,Paris (FRA),27/08/2016,09:31.36
High jump,women,1.92,Sahana Kumari,Hyderabad (IND),23/06/2012,1.97,Blanka Vla?ic,CRO,1.89,Nadezhda Dusanova,UZB,2.09,Stefka KOSTADINOVA,BUL,Roma (Stadio Olimpico),30/08/1987,1.99,Marina AITOVA,KAZ,Athina (GRE),13/07/2009,1.94
Pole vault,women,4.15,V.S. Surekha,New Delhi (IND),04/11/2014,4.8,Eliza McCartney,NZL,4.15,Lim Eun-Ji,KOR,5.06,Elena ISINBAEVA,RUS,ZÅrich (Letzigrund),28/08/2009,4.66,Ling LI,CHN,Wuhan (CHN),06/06/2015,4.35
Long jump,women,6.83,Anju Bobby GEORGE,"Eugene, OR (USA)",19/06/2004,7.08,Ivana ?panovic,SRB,6.34,Jiang Yanfei,CHN,7.52,Galina CHISTYAKOVA,URS,Leningrad (Kirov Stadium),11/06/1988,7.06,Miaolan MA,CHN,Beijing (CHN),10/09/1993,6.55
Triple jump,women,14.11,Mayookha JOHNY,Kobe (JPN),09/07/2011,14.74,Olga Rypakova,KAZ,13.77,Irina Ektova,KAZ,15.5,Inessa KRAVETS,UKR,Gîteborg (Ullevi Stadium),10/08/1995,15.25,Olga RYPAKOVA,KAZ,Split (CRO),04/09/2010,14.32
Shot put,women,18.86,Manpreet KAUR,Jinhua (CHN),24/04/2017,19.87,Anita M†rton,HUN,17.52,Guo Tianqian,CHN,22.63,Natalya LISOVSKAYA,URS,Moskva (Lenin Stadium),07/06/1987,21.76,Meisu LI,CHN,Shijiazhuang (CHN),23/04/1988,19.06
Discus throw,women,64.76,Krishna Poonia,Maui (USA),05/05/2012,65.34,Denia Caballero,CUB,59.03,Tan Jian,CHN,76.8,Gabriele REINSCH,GDR,Neubrandenburg (Jahn Sportpark),09/07/1988,71.68,Yanling XIAO,CHN,Beijing (CHN),14/03/1992,61.03
Hammer throw,women,65.25,Prakash SINGH SARITHA,Patiala (IND),01/06/2017,74.54,Sophie Hitchon,GBR,60.47,Manju Bala Singh,IND,82.98,Anita W?ODARCZYK,POL,Warszawa (Stadion Narodowy),28/08/2016,77.68,Zheng WANG,CHN,Chengdu (CHN),29/03/2014,77.33
Javelin throw,women,61.86,Annu RANI,Patiala (IND),04/06/2017,64.8,Barbora ?pot†kov†,CZE,59.53,Annu Rani,IND,72.28,Barbora ?POTµKOVµ,CZE,Stuttgart (Gottlieb-Daimler Stadion),13/09/2008,67.69,Huihui LYU,CHN,Halle (GER),26/05/2018,65.47
20 kilometres race walk,women,01:31:29,Soumya BABY,New Delhi (IND),18/02/2018,01:28:42,Xiuzhi Lyu,CHN,01:33:18,Jeon Yang-Eun,KOR,01:23:39,Elena LASHMANOVA,RUS,Cheboksary (RUS),09/06/2018,01:24:38,Hong LIU,CHN,La Coruna (ESP),06/06/2015,01:31:06
Marathon,women,02:34:43,O.P. Jaisha,Beijing (CHN),30/08/2015,02:24:30,Mare Dibaba,ETH,02:33:13,Lishan Dula,BRN,02:15:25,Paula RADCLIFFE,GBR,London,13/04/2003,02:19:12,Mizuki NOGUCHI,JPN,Berlin (GER),25/09/2005,02:25:37
Heptathlon,women,6211,Jagadeeshppa Javur SHOBHA,New Delhi (IND),16/03/2004,6653,Brianne Theisen Eaton,CAN,5482,Yuliya Tarasova,UZB,7291,Jackie JOYNER-KERSEE,USA,Seoul (Olympic Stadium),24/09/1988,6942,Ghada SHOUAA,SYR,Gˆtzis (AUT),26/05/1996,5912
