event,gender,national_record,national_name,national_venue,national_date,oly_bronze_perf,oly_bronze_name,oly_bronze_country,asiad_bronze_perf,asiad_bronze_name,asiad_bronze_country,world_record,wr_name,wr_country,wr_venue,wr_date,asian_record,ar_name,ar_country,ar_venue,ar_date,asiad_gold_perf,national_record_formatted,oly_bronze_perf_formatted,asiad_bronze_perf_formatted,world_record_formatted,asian_record_formatted,asiad_gold_perf_formatted,national_record_age,asian_record_percent,national_record_percent,national_record_timedelta
100 metres,men,10.21,Anil KUMAR,Bangalore (IND),2000-07-05,9.91,Andre De Grasse,CAN,10.15,Kei Takase,JPN,9.58,Usain BOLT,JAM,Berlin (Olympiastadion),2009-08-16,9.87,Yoshihide KIRYU,JPN,"Austin, TX (USA)",2009-08-16,9.93,0 days 00:00:10.210000000,0 days 00:00:09.910000000,0 days 00:00:10.150000000,0 days 00:00:09.580000000,0 days 00:00:09.870000000,0 days 00:00:09.930000000,18.0,97.0,93.4,0 days 00:00:10.210000000
200 metres,men,20.66,Dharmbir SINGH,Wuhan (CHN),2015-06-07,20.12,Christophe LEMAITRE,FRA,20.82,Yeo Ho-Su-Ah,KOR,19.19,Usain BOLT,JAM,Berlin (Olympiastadion),2009-08-20,19.97,Femi OGUNODE,QAT,Bruxelles (BEL),2009-08-20,20.14,0 days 00:00:20.660000000,0 days 00:00:20.120000000,0 days 00:00:20.820000000,0 days 00:00:19.190000000,0 days 00:00:19.970000000,0 days 00:00:20.140000000,3.0,95.9,92.3,0 days 00:00:20.660000000
400 metres,men,45.24,Mohammed Anas YAHIYA,Noveho Mesta nad Metuji (CZE),2018-07-21,43.85,LaShawn Merritt,USA,45.92,Arokia Rajiv,IND,43.03,Wayde VAN NIEKERK,RSA,Rio de Janeiro (Est dio Ol¡mpico),2016-08-14,43.93,Youssef Ahmed MASRAHI,KSA,Beijing (CHN),2016-08-14,44.46,0 days 00:00:45.240000000,0 days 00:00:43.850000000,0 days 00:00:45.920000000,0 days 00:00:43.030000000,0 days 00:00:43.930000000,0 days 00:00:44.460000000,0.0,97.9,94.9,0 days 00:00:45.240000000
800 metres,men,1:45.65,Jinson JOHNSON,Guwahati (IND),2018-06-27,01:42.93,Clayton Murphy,USA,01:48.25,Jamal Al-Hayrani,QAT,01:40.91,David RUDISHA,KEN,London (Olympic Stadium),2012-08-09,01:42.79,Yusuf Saad KAMEL,BRN,Monaco (MON),2012-08-09,01:47.48,0 days 00:01:45.650000000,0 days 00:01:42.930000000,0 days 00:01:48.250000000,0 days 00:01:40.910000000,0 days 00:01:42.790000000,0 days 00:01:47.480000000,0.0,98.1,95.3,0 days 00:01:45.650000000
1500 metres,men,03:37.86,Jinson JOHNSON,Gold Coast (AUS),2018-04-14,03:50.24,Nicholas Willis,NZL,03:42.50,Adnan Taees Akkar,IRQ,03:26.00,Hicham EL GUERROUJ,MAR,Roma (Stadio Olimpico),1998-07-14,03:29.14,Rashid RAMZI,BRN,Roma (ITA),1998-07-14,03:40.23,0 days 00:03:37.860000000,0 days 00:03:50.240000000,0 days 00:03:42.500000000,0 days 00:03:26.000000000,0 days 00:03:29.140000000,0 days 00:03:40.230000000,0.0,98.5,94.2,0 days 00:03:37.860000000
5000 metres,men,13:29.70,Bahadur PRASAD,Birmingham (GBR),1992-06-27,13:04.35,Hagos Gebrhiwet,ETH,13:28.08,Albert Rop,BRN,12:37.35,Kenenisa BEKELE,ETH,Hengelo (Blankers-Koen Stadion),2004-05-31,12:51.96,Albert ROP,BRN,Monaco (MON),2004-05-31,13:26.13,0 days 00:13:29.700000000,0 days 00:13:04.350000000,0 days 00:13:28.080000000,0 days 00:12:37.350000000,0 days 00:12:51.960000000,0 days 00:13:26.130000000,26.0,98.1,93.1,0 days 00:13:29.700000000
10000 metres,men,28:02.89,Surendra Singh KUMAR,Vigo (ESP),2008-07-12,27:06.26,Tamirat Tola,ETH,28:45.65,Isaac Korir,BRN,26:17.53,Kenenisa BEKELE,ETH,Bruxelles (Boudewijnstadion),2005-08-26,26:38.76,Ahmad Hassan ABDULLAH,QAT,Bruxelles (BEL),2005-08-26,28:11.20,0 days 00:28:02.890000000,0 days 00:27:06.260000000,0 days 00:28:45.650000000,0 days 00:26:17.530000000,0 days 00:26:38.760000000,0 days 00:28:11.200000000,10.0,98.7,93.3,0 days 00:28:02.890000000
110 metres hurdles,men,13.43,Siddhanth THINGALAYA,"San Diego, CA (USA)",2017-04-01,13.24,Dimitri Bascou,FRA,13.61,Jumrut Rittidet,THA,12.8,Aries MERRITT,USA,Bruxelles (Boudewijnstadion),2012-09-07,12.87,Xiang LIU,CHN,"Eugene, OR (USA)",2012-09-07,13.36,0 days 00:00:13.430000000,0 days 00:00:13.240000000,0 days 00:00:13.610000000,0 days 00:00:12.080000000,0 days 00:00:12.870000000,0 days 00:00:13.360000000,1.0,93.5,88.8,0 days 00:00:13.430000000
400 metres hurdles,men,49.45,A. DHARUN,Patiala (IND),2018-03-08,47.92,Yasmani Copello,TUR,50.29,Cheng Wen,CHN,46.78,Kevin YOUNG,USA,Barcelona (Estadio Ol¡mpico),1992-08-06,46.98,Abderrahman SAMBA,QAT,Paris (FRA),1992-08-06,49.71,0 days 00:00:49.450000000,0 days 00:00:47.920000000,0 days 00:00:50.290000000,0 days 00:00:46.780000000,0 days 00:00:46.980000000,0 days 00:00:49.710000000,0.0,99.6,94.3,0 days 00:00:49.450000000
3000 metres steeplechase,men,08:30.88,Gopal Saini,Rajasthan,1981-06-05,08:11.52,Mahiedine Mekhissi,FRA,08:40.39,Naveen Kumar,IND,07:53.63,Saif Saaeed SHAHEEN,QAT,Bruxelles (Boudewijnstadion),2004-09-03,07:53.63,Saif Saaeed SHAHEEN,QAT,Bruxelles (BEL),2004-09-03,08:28.72,0 days 00:08:30.880000000,0 days 00:08:11.520000000,0 days 00:08:40.390000000,0 days 00:07:53.630000000,0 days 00:07:53.630000000,0 days 00:08:28.720000000,37.0,100.0,92.1,0 days 00:08:30.880000000
High jump,men,2.29,Tejaswin SHANKAR,"Lubbock, TX (USA)",2018-04-27,2.33,Bohdan Bondarenko,UKR,2.25,Muamer Aissa Barshim,QAT,2.45,Javier SOTOMAYOR,CUB,Salamanca (Helm ntico),1993-07-27,2.43,Mutaz Essa BARSHIM,QAT,Bruxelles (BEL),1993-07-27,2.35,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0,99.2,93.5,0 days 00:00:00.000000000
Pole vault,men,5.15,Subramani Siva,Patiala (IND),2018-03-05,5.85,Sam Kendricks,USA,5.45,Jin Min-Sub,KOR,6.16,Renaud LAVILLENIE,FRA,Donetsk (Sport Palace Druzhba),2014-02-15,5.92,Igor POTAPOVICH,KAZ,Dijon (FRA),2014-02-15,5.55,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0,96.1,83.6,0 days 00:00:00.000000000
Long jump,men,8.19,Ankit SHARMA,Almaty (KAZ),2016-06-26,8.29,Greg Rutherford,GBR,7.86,Gao Xinglong,CHN,8.95,Mike POWELL,USA,Tokyo (Olympic Stadium),1991-08-30,8.48,Mohamed Salman AL KHUWALIDI,KSA,Sotteville (FRA),1991-08-30,8.01,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,2.0,94.7,91.5,0 days 00:00:00.000000000
Triple jump,men,17.3,Renjith MAHESWARY,Bangalore (IND),2016-07-11,17.58,Bin Dong,CHN,16.93,Kim Duk-Hyung,KOR,18.29,Jonathan EDWARDS,GBR,Gteborg (Ullevi Stadium),1995-08-07,17.59,Yanxi LI,CHN,Jinan (CHN),1995-08-07,17.3,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,2.0,96.2,94.6,0 days 00:00:00.000000000
Shot put,men,20.69,Om Prakash SINGH,Szombathely (HUN),2012-05-12,21.36,Tomas Walsh,NZL,19.63,Inderjeet Singh,IND,23.12,Randy BARNES,USA,"Los Angeles (Westwood), CA",1990-05-20,21.13,Sultan Abdulmajeed AL HEBSHI,KSA,Doha (QAT),1990-05-20,19.99,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,6.0,91.4,89.5,0 days 00:00:00.000000000
Discus throw,men,66.28,Vikas GOWDA,"Norman, OK (USA)",2012-04-12,67.05,Daniel Jasinski,GER,61.25,Ahmed Mohamed Dheeb,QAT,74.08,Jrgen SCHULT,GDR,Neubrandenburg (Jahn Sportpark),1986-06-06,69.32,Ehsan HADADI,IRI,Tallinn (EST),1986-06-06,65.11,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,6.0,93.6,89.5,0 days 00:00:00.000000000
Hammer throw,men,72.86,K.P. SINGH,"Tucson, AZ (USA)",2015-05-21,77.73,Wojciech Nowicki,POL,73.43,Wan Yong,CHN,86.74,Yuriy SEDYKH,URS,Stuttgart (Neckarstadion),1986-08-30,84.86,Koji MUROFUSHI,JPN,Praha (CZE),1986-08-30,76.82,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,3.0,97.8,84.0,0 days 00:00:00.000000000
Javelin throw,men,87.43,Neeraj CHOPRA,Doha (QAT),2018-05-04,85.38,Keshorn Walcott,TTO,83.68,Ivan Zaytsev,UZB,98.48,Jan ZELEZNí,CZE,Jena (Abbe Sport Ground),1996-05-25,91.36,Chao-Tsun CHENG,TPE,Taipei (TPE),1996-05-25,89.15,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0,92.8,88.8,0 days 00:00:00.000000000
20 kilometres race walk,men,01:20:21,Irfan KOLOTHUM THODI,London (GBR),2012-08-04,01:19:37,Dane Bird-Smith,AUS,01:21:37,Kim Hyun-Sub,KOR,01:16:36,Yusuke SUZUKI,JPN,"Nomi, JPN",2015-03-15,01:16:36,Yusuke SUZUKI,JPN,Nomi (JPN),2015-03-15,01:19:45,0 days 01:20:21.000000000,0 days 01:19:37.000000000,0 days 01:21:37.000000000,0 days 01:16:36.000000000,0 days 01:16:36.000000000,0 days 01:19:45.000000000,6.0,100.0,95.1,0 days 01:20:21.000000000
Marathon,men,02:12:00,Shivnath SINGH,Jullundur (IND),1978-05-28,02:10:05,Galen Rupp,USA,02:12:42,Yuki Kawauchi,JPN,02:02:57,Dennis Kipruto KIMETTO,KEN,Berlin,2014-09-28,02:06:11,Yuta SHITARA,JPN,Tokyo (JPN),2014-09-28,02:12:38,0 days 02:12:00.000000000,0 days 02:10:05.000000000,0 days 02:12:42.000000000,0 days 02:02:57.000000000,0 days 02:06:11.000000000,0 days 02:12:38.000000000,40.0,97.4,92.6,0 days 02:12:00.000000000
50 kilometres race walk,men,3:55:59,Sandeep Kumar,New Delhi (IND),2017-02-18,03:41:24,Hirooki Arai,JPN,03:50:52,Wang Zhendong,CHN,03:32:33,Yohann DINIZ,FRA,Zrich (Letzigrund),2014-08-15,03:36:06,Chaohong YU,CHN,Nanjing (CHN),2014-08-15,03:40:19,0 days 03:55:59.000000000,0 days 03:41:24.000000000,0 days 03:50:52.000000000,0 days 03:32:33.000000000,0 days 03:36:06.000000000,0 days 03:40:19.000000000,1.0,98.3,89.0,0 days 03:55:59.000000000
Decathlon,men,7658,Bharatinder Singh,Bangalore (IND),2011-06-12,8666,Damian Warner,CAN,7828,Akihiko Nakamura,JPN,9045,Ashton EATON,USA,Beijing (National Stadium),2015-08-29,8725,Dmitriy KARPOV,KAZ,Athina (GRE),2015-08-29,8088,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,7.0,96.5,84.7,0 days 00:00:00.000000000
100 metres,women,11.24,Dutee CHAND,Almaty (KAZ),2016-06-25,10.86,Shelly-Ann Fraser-Pryce,JAM,11.5,Olga Safronova,KAZ,10.49,Florence GRIFFITH-JOYNER,USA,"Indianapolis (University Stadium), IN",1988-07-16,10.79,Xuemei LI,CHN,Shanghai (CHN),1988-07-16,11.48,0 days 00:00:11.240000000,0 days 00:00:10.860000000,0 days 00:00:11.050000000,0 days 00:00:10.490000000,0 days 00:00:10.790000000,0 days 00:00:11.480000000,2.0,97.1,92.9,0 days 00:00:11.240000000
200 metres,women,22.82,Saraswati DEY-SAHA,Ludhiana (IND),2002-08-28,22.15,Tori Bowie,USA,23.45,Chisato Fukushima,JPN,21.34,Florence GRIFFITH-JOYNER,USA,Seoul (Olympic Stadium),1988-09-29,22.01,Xuemei LI,CHN,Shanghai (CHN),1988-09-29,23.02,0 days 00:00:22.820000000,0 days 00:00:22.150000000,0 days 00:00:23.450000000,0 days 00:00:21.340000000,0 days 00:00:22.010000000,0 days 00:00:23.020000000,15.0,96.9,93.1,0 days 00:00:22.820000000
400 metres,women,51.05,Manjeet KAUR,Chennai (IND),2004-06-16,49.85,Shericka Jackson,JAM,52.36,Machettira Raju Poovamma,IND,47.6,Marita KOCH,GDR,Canberra (Bruce Stadium),1985-10-06,49.08,Salwa Eid NASER,BRN,Monaco (MON),1985-10-06,51.59,0 days 00:00:51.050000000,0 days 00:00:49.850000000,0 days 00:00:52.360000000,0 days 00:00:47.060000000,0 days 00:00:49.080000000,0 days 00:00:51.590000000,14.0,95.7,91.5,0 days 00:00:51.050000000
800 metres,women,01:59.17,Tintu LUKKA,Split (CRO),2010-09-04,01:56.89,Margaret Nyairera Wambui,KEN,01:59.48,Zhao Jing,CHN,01:53.28,Jarmila KRATOCHVÖLOVµ,TCH,Mnchen (Olympiastadion),1983-07-26,01:55.54,Dong LIU,CHN,Beijing (CHN),1983-07-26,01:59.02,0 days 00:01:59.170000000,0 days 00:01:56.890000000,0 days 00:01:59.480000000,0 days 00:01:53.280000000,0 days 00:01:55.540000000,0 days 00:01:59.020000000,7.0,98.0,94.8,0 days 00:01:59.170000000
1500 metres,women,04:06.03,Sunita RANI,Busan (KOR),2002-10-10,04:10.53,Jennifer Simpson,USA,04:13.46,Orchatteri P. Jaisha,IND,03:50.07,Genzebe DIBABA,ETH,Monaco (Stade Louis II),2015-07-17,03:50.46,Yunxia QU,CHN,Beijing (CHN),2015-07-17,04:09.90,0 days 00:04:06.030000000,0 days 00:04:10.530000000,0 days 00:04:13.460000000,0 days 00:03:50.070000000,0 days 00:03:50.460000000,0 days 00:04:09.900000000,15.0,99.8,93.1,0 days 00:04:06.030000000
5000 metres,women,15:15.89,Preeja SREEDHARAN,Guangzhou (CHN),2010-11-26,14:33.59,Almaz Ayana,ETH,15:12.51,Ding Changqin,CHN,14:11.15,Tirunesh DIBABA,ETH,Oslo (Bislett),2008-06-06,14:28.09,Jiang BO,CHN,Shanghai (CHN),2008-06-06,14:59.69,0 days 00:15:15.890000000,0 days 00:14:33.590000000,0 days 00:15:12.510000000,0 days 00:14:11.150000000,0 days 00:14:28.090000000,0 days 00:14:59.690000000,7.0,98.0,92.4,0 days 00:15:15.890000000
10000 metres,women,31:50.47,Preeja SREEDHARAN,Guangzhou (CHN),2010-11-21,29:42.56,Tirunesh Dibaba,ETH,31:55.67,Ayumi Hagiwara,JPN,29:17.45,Almaz AYANA,ETH,Rio de Janeiro (Est dio Ol¡mpico),2016-08-12,29:31.78,Junxia WANG,CHN,Beijing (CHN),2016-08-12,31:51.86,0 days 00:31:50.470000000,0 days 00:29:42.560000000,0 days 00:31:55.670000000,0 days 00:29:17.450000000,0 days 00:29:31.780000000,0 days 00:31:51.860000000,7.0,99.2,91.3,0 days 00:31:50.470000000
100 metres hurdles,women,13.38,Anuradha Biswal,New Delhi (IND),2002-08-26,12.61,Kristi Castlin,USA,13.25,Ayako Kimura,JPN,12.2,Kendra HARRISON,USA,London (Olympic Stadium),2016-07-22,12.41,Olga SHISHIGINA,KAZ,Lausanne (SUI),2016-07-22,12.72,0 days 00:00:13.380000000,0 days 00:00:12.610000000,0 days 00:00:13.250000000,0 days 00:00:12.020000000,0 days 00:00:12.410000000,0 days 00:00:12.720000000,15.0,96.8,88.7,0 days 00:00:13.380000000
400 metres hurdles,women,55.42,Pilavulakandi T. USHA,"Los Angeles, CA (USA)",1984-08-08,53.72,Ashley Spencer,USA,56.59,Xiao Xia,CHN,52.34,Yuliya PECHENKINA,RUS,Tula (Arsenal Stadium),2003-08-08,53.96,Qing HAN,CHN,Beijing (CHN),2003-08-08,55.77,0 days 00:00:55.420000000,0 days 00:00:53.720000000,0 days 00:00:56.590000000,0 days 00:00:52.340000000,0 days 00:00:53.960000000,0 days 00:00:55.770000000,34.0,96.9,94.1,0 days 00:00:55.420000000
3000 metres steeplechase,women,09:19.76,Lalita BABAR,Rio de Janeiro (BRA),2016-08-13,09:07.63,Emma Coburn,USA,09:35.37,Lalita Babar,IND,08:52.78,Beatrice Chepkoech,KEN,Monaco (MON),2018-07-20,08:52.78,Ruth JEBET,BRN,Paris (FRA),2018-07-20,09:31.36,0 days 00:09:19.760000000,0 days 00:09:07.630000000,0 days 00:09:35.370000000,0 days 00:08:52.780000000,0 days 00:08:52.780000000,0 days 00:09:31.360000000,2.0,100.0,94.9,0 days 00:09:19.760000000
High jump,women,1.92,Sahana Kumari,Hyderabad (IND),2012-06-23,1.97,Blanka Vla?ic,CRO,1.89,Nadezhda Dusanova,UZB,2.09,Stefka KOSTADINOVA,BUL,Roma (Stadio Olimpico),1987-08-30,1.99,Marina AITOVA,KAZ,Athina (GRE),1987-08-30,1.94,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,6.0,95.2,91.9,0 days 00:00:00.000000000
Pole vault,women,4.15,V.S. Surekha,New Delhi (IND),2014-11-04,4.8,Eliza McCartney,NZL,4.15,Lim Eun-Ji,KOR,5.06,Elena ISINBAEVA,RUS,Zrich (Letzigrund),2009-08-28,4.66,Ling LI,CHN,Wuhan (CHN),2009-08-28,4.35,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,3.0,92.1,82.0,0 days 00:00:00.000000000
Long jump,women,6.83,Anju Bobby GEORGE,"Eugene, OR (USA)",2004-06-19,7.08,Ivana ?panovic,SRB,6.34,Jiang Yanfei,CHN,7.52,Galina CHISTYAKOVA,URS,Leningrad (Kirov Stadium),1988-06-11,7.06,Miaolan MA,CHN,Beijing (CHN),1988-06-11,6.55,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,14.0,93.9,90.8,0 days 00:00:00.000000000
Triple jump,women,14.11,Mayookha JOHNY,Kobe (JPN),2011-07-09,14.74,Olga Rypakova,KAZ,13.77,Irina Ektova,KAZ,15.5,Inessa KRAVETS,UKR,Gteborg (Ullevi Stadium),1995-08-10,15.25,Olga RYPAKOVA,KAZ,Split (CRO),1995-08-10,14.32,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,7.0,98.4,91.0,0 days 00:00:00.000000000
Shot put,women,18.86,Manpreet KAUR,Jinhua (CHN),2017-04-24,19.87,Anita M rton,HUN,17.52,Guo Tianqian,CHN,22.63,Natalya LISOVSKAYA,URS,Moskva (Lenin Stadium),1987-06-07,21.76,Meisu LI,CHN,Shijiazhuang (CHN),1987-06-07,19.06,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,1.0,96.2,83.3,0 days 00:00:00.000000000
Discus throw,women,64.76,Krishna Poonia,Maui (USA),2012-05-05,65.34,Denia Caballero,CUB,59.03,Tan Jian,CHN,76.8,Gabriele REINSCH,GDR,Neubrandenburg (Jahn Sportpark),1988-07-09,71.68,Yanling XIAO,CHN,Beijing (CHN),1988-07-09,61.03,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,6.0,93.3,84.3,0 days 00:00:00.000000000
Hammer throw,women,65.25,Prakash SINGH SARITHA,Patiala (IND),2017-06-01,74.54,Sophie Hitchon,GBR,60.47,Manju Bala Singh,IND,82.98,Anita W?ODARCZYK,POL,Warszawa (Stadion Narodowy),2016-08-28,77.68,Zheng WANG,CHN,Chengdu (CHN),2016-08-28,77.33,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,1.0,93.6,78.6,0 days 00:00:00.000000000
Javelin throw,women,61.86,Annu RANI,Patiala (IND),2017-06-04,64.8,Barbora ?pot kov ,CZE,59.53,Annu Rani,IND,72.28,Barbora ?POTµKOVµ,CZE,Stuttgart (Gottlieb-Daimler Stadion),2008-09-13,67.69,Huihui LYU,CHN,Halle (GER),2008-09-13,65.47,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,1.0,93.6,85.6,0 days 00:00:00.000000000
20 kilometres race walk,women,01:31:29,Soumya BABY,New Delhi (IND),2018-02-18,01:28:42,Xiuzhi Lyu,CHN,01:33:18,Jeon Yang-Eun,KOR,01:23:39,Elena LASHMANOVA,RUS,Cheboksary (RUS),2018-06-09,01:24:38,Hong LIU,CHN,La Coruna (ESP),2018-06-09,01:31:06,0 days 01:31:29.000000000,0 days 01:28:42.000000000,0 days 01:33:18.000000000,0 days 01:23:39.000000000,0 days 01:24:38.000000000,0 days 01:31:06.000000000,0.0,98.8,90.6,0 days 01:31:29.000000000
Marathon,women,02:34:43,O.P. Jaisha,Beijing (CHN),2015-08-30,02:24:30,Mare Dibaba,ETH,02:33:13,Lishan Dula,BRN,02:15:25,Paula RADCLIFFE,GBR,London,2003-04-13,02:19:12,Mizuki NOGUCHI,JPN,Berlin (GER),2003-04-13,02:25:37,0 days 02:34:43.000000000,0 days 02:24:30.000000000,0 days 02:33:13.000000000,0 days 02:15:25.000000000,0 days 02:19:12.000000000,0 days 02:25:37.000000000,2.0,97.2,85.7,0 days 02:34:43.000000000
Heptathlon,women,6211,Jagadeeshppa Javur SHOBHA,New Delhi (IND),2004-03-16,6653,Brianne Theisen Eaton,CAN,5482,Yuliya Tarasova,UZB,7291,Jackie JOYNER-KERSEE,USA,Seoul (Olympic Stadium),1988-09-24,6942,Ghada SHOUAA,SYR,Götzis (AUT),1988-09-24,5912,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,14.0,95.2,85.2,0 days 00:00:00.000000000
